,Pinyin Name,English Name,Latin Name,Attributes,Meridians/Energy_channels,Use Part,Effect,Indication
1761,XUE SHANG YI ZHI HAO,Shortstalk Monkshood Equivalent plant:  Aconitum nagarum var lasiandrum,Aconitum brachypodum,"Warm,Pungent,Bitter","Spleen,Stomach",root,"To dispel wind and eliminate damp, quicken blood and relieve pain.","Wind-damp bone pain, knocks and falls, pain in limbs, toothache,toxin swelling of sores, pain from carcinoma, pain in joints."
1795,BING LANG,Betenutpalm,Areca catechu,"Warm,Pungent,Bitter","Spleen,Large Intestine,Stomach",seed,"To expel worms, disperse accumulation, precipitate qi, move water, interrupt malaria.","Wormccumulation, food stagnation, distending pain in stomach duct and abdomen, diarrhea and tenesmus, beriberi, edema, malaria."
1809,SHI DI,Persimmon Persistent Calyx,Diospyros kaki,"Mild,Bitter,Punkery",Stomach,calyx,To downbear counterflow and precipitate qi.,Hiccough.
1825,GUAN YE LIAN QIAO,Common StJohn’swort,Hypericum perforatum,"bitter,sour,cold","liver,gallbladder,stomach,bladder,small intestine",whole herb with root,"To promote astriction and stanch bleeding, regulate menstruation and free milk, clear heat and resolve toxin, disinhibit damp.","Hemoptysis, blood ejection, intestinal wind bleeding, flooding and spotting, bleeding due to external injury, menstrual disorder, galactostasis, jaundice, throat pain, red eyes with gall, urinary tract infection, mouth sore, nose sores, swelling toxin of welling abscess and boil, burns and scalds."
1857,MA DOU LING,"Slender Dutchmanspipe Equivalent plant:  Aristolochia contorta, Aristolochia indica , Aristolochia maxima, Aristolochia triangularis",Aristolochia debilis [Syn.  Aristolochia longa],"Cold,Slightly Pungent,Bitter","Lung,Large Intestine",fruit,"To clear lung and downbear  qi,   relieve cough and calm asthma, clear and discharge large intestines.","Lung heat cough asthma, phlegm congestion and hasty  qi ,  lung vacuity enduring cough, intestinal heat bleeding from hemorrhoids, swelling pain from hemorrhoids, edema."
1881,YIN YANG HUO,"Shorthorned Epimedium Equivalent plant:  Epimedium sagittatum, Epimedium wushanense ,  Epimedium koreanum,  Epimedium pubescens, Epimedium acuminatum,  Epimedium davidii, Epimedium sutchuenense",Epimedium brevicornum,"Warm,Pungent,Sweet","Liver,Kidney",aerial parts,"To supplement kidney and invigorate  yang , strengthen sinews and bones, dispel wind-damp.","Angina pectoris, chronic bronchitis, neurasthenia, climacteric hypertension, poliomyelitis, impotence and emission, limp wilting sinew and bone, wind-damp impediment pain, hypertonicity and numbness."
1883,JIU ZI,Tuber Onion Seed,Allium tuberosum,"Warm,Pungent,Sweet","Liver,Kidney",seed,"To supplement liver and kidney, invigorate  yang  and secure essence.","Kidney vacuity impotence, limp aching lumbus and knees, emission, frequent urination, urinary turbidity, Vaginal discharge."
1905,SHENG MA,"Bugbane Equivalent plant: Cimicifuga dahurica,  Cimicifuga heracleifolia",Cimicifuga foetida,"Minor cold,Pungent","Lung,Spleen,Large Intestine,Stomach",rhizome,"To clear heat and resolve toxin, effuse exterior and outthrust papules, upbear  yang  and raise fall.","Prevention of ptosis, women’s hormone dysfunction diseases, seasonal epidemic fire toxin, mouth sore, sore pharynx, macula, cold-heat headache, swelling toxin of welling abscess and sore, center  qi  fall, spleen vacuity diarrhea, chronic dysentery, vaginal discharge, flooding."
1913,SUO YANG,Songaria Cynomorium,Cynomorium songaricum,"Warm,Sweet","Large Intestine,Liver,Kidney",fleshy stem,"To supplement kidney and invigorate  yang , boost essence and blood, moisten intestines and free stool.","Kidney vacuity impotence, emission and premature ejaculation, limp wilting of lower limb, vacuity constipation."
1921,SHAN ZHA,Chinese Hawthorn Equivalent plant: Crataegus pinnatifida  var major,Crataegus pinnatifida,"Minor Warm,Sweet,Sour","Spleen,Stomach,Liver",fruit,"To fortify stomach and disperse food, move qi  and dissipate stasis, lower cholesterol.","Hyperlipemia, myocardiac ischemia, angina pectoris, meat-type food accumulation, distention fullness in stomach duct, abdominal pain and diarrhea, amenorrhea due to blood stasis, postpartum stasis stagnation abdominal pain, stabbing pain in heart and abdomen, mounting qi ."
1928,LUO HAN GUO,Grosvenor Siraitia,Siraitia grosvenorii  [Syn.  Momordica grosvenorii],"Cool,Sweet","Lung,Large Intestine",fruit,"To clear heat and moisten lung, lubricate intestines and free stool.","Lung heat dry cough, common cold, throat pain, laryngitis, aphonia due to throat pain, intestinal dry and constipation."
1942,BI BA,Long Pepper,Piper longum,"Hot,Pungent","Large Intestine,Stomach",fruit-spike,"To warm center and dissipate cold, precipitate  qi  and relieve pain.","Cold pain in stomach duct and abdomen, vomiting, diarrhea, headache, toothache, deep-source nasal congestion, coronary heart disease, angina pectoris."
1967,CHUAN NIU XI,Mediinal Cyathula,Cyathula officinalis,"Mild,Sweet,Sour,Bitter","Liver,Kidney",root,"To quicken blood and dispel stasis, dispel wind and disinhibit damp.","Amenorrhea with concretion and conglomeration, retention of placenta, impediment pain in joints, hematuria, blood strangury, knocks and falls."
1974,MA HUANG GEN,Chinese Ephedra Root,Ephedra sinica,"Mild,Sweet",Lung,root,To check sweating.,Spontaneous sweating and night sweating.
2046,GAO BEN,Chinese Ligusticum Equivalent plant: Ligusticum jeholense,Ligusticum sinense,"Warm,Pungent","Bladder,Liver",rhizome and root,"To dissipate cold and resolve exterior, dispel wind and eliminate damp, relieve pain.","Headache due to externally contracted wind-cold, vertex headache, pain in tooth and cheek, migraine, wind-cold-damp impediment, pain in limbs."
2143,SHA REN,"Villous Amomum Equivalent plant: Amomum xanthioides ,  Amomum longiligulare",Amomum villosum,"Warm,Pungent","Spleen,Stomach",ripe fruit or seed,"To move qi  and regulate center, harmonize stomach and arouse spleen.","Abdominal pain glomus distention, food stagnation in torpid stomach, dysphagia-occlusion, vomiting, cold dysentery, stirring fetus in pregnancy."
2144,DING GONG TENG,Obtuseleaf Erycibe Equivalent plant:  Erycibe schmidtii,Erycibe obtusifolia,"Warm,Pungent","Spleen,Stomach,Liver",rattan,"To expel wind and eliminate damp, disperse swelling and relieve pain.","Wind-damp impediment pain, hemiplegia, painful swelling from knocks and falls."
2155,SHI DA GONG LAO YE,"Leatherleaf Mahonia Leaf Equivalent plant:  Mahonia fortunei, Mahonia japonica",Mahonia bealei,"Cold,Bitter","Large Intestine,Stomach,Liver",leaf,"To clear vacuity heat, dry damp, resolve toxin.","Tuberculosis and hemoptysis, steaming bone tidal fever, dizziness and tinnitus, limp aching lumbus and knees, damp-heat jaundice, vaginal discharge, dysentery, wind-heat common cold, red eyes with gall, swollen welling abscess and sores."
2202,PU HUANG,"Longbract Cattail Pollen Equivalent plant: Typha angustifolia , Typha latifolia",Typha angustata,"Mild,Sweet","Liver,Heart",pollen,"To lower cholesterol, cool blood and stanch bleeding, quicken blood and dispel stasis.","Hyperlipemia, angina pectoris, exudative eczema, bleeding, hemoptysis, spontaneous external bleeding, blood ejection, hematochezia, hematuria, flooding and spotting, bleeding due to external injury, pain in heart and abdomen, dysmenorrhea, postpartum bleeding, postpartum abdominal pain, blood strangury with inhibited pain."
2235,GAN SUI,Kansui Euphorbia,Euphorbia kansui,"Cold,Bitter","Lung,Large Intestine,Kidney",tuberoid,"To drain water and expel rheum, break accumulation and free stool.","Edema, ascites, flowing rheum in chest, concretion conglomeration accumulation and gathering, epilepsy,  cough and asthma, urinar y and fecal stoppage."
2263,KU LIAN PI,Chinaberry-tree Bark Equivalent plant:  Melia toosendan,Melia azedarach,"Cold,Bitter","Spleen,Stomach,Liver",dried stem or root cortex,To expel worms and treat lichen.,"Ascariasis, oxyuria disease, abdominal pain due to worm accumulation, scab and lichen with itching."
2269,BAN LAN GEN,Indigowoad Root,Isatis indigotica,"Cold,Bitter","Stomach,Heart",root,"To clear heat and resolve toxin, cool blood and disinhibit throat.","Epidemic encephalitis, measles papulis, parotitis, influenza, warm toxin macular eruption, ardent fever with headache, massive head scourge, throat pain, maculopapular eruption, epidemic parotitis, erysipelas, hepatitis, swelling toxin of sore and welling abscess."
2278,ZHI SHI,"Seville Orange Young Fruit Equivalent plant: Citrus wilsonii ,  Poncirus trifoliata",Citrus aurantium,"Minor cold,Pungent,Bitter","Spleen,Large Intestine,Stomach",young fruit,"To break qi  and dissipate glomus, disperse phlegm and transform accumulation.","Shock, indigestion, ptosis of anus or uterus, cardiac failure, distention fullness in chest and abdomen, phlegm aggregation."
2289,TAN XIANG,Sandalwood,Santalum album,"Warm,Pungent","Spleen,Stomach,Kidney",heartwood,To rectify  qi  and harmonize stomach.,"Pain in chest and abdomen, cold stomachache, vomiting of water due to congealing cold qi  stagnation, coronary heart disease with pattern of qi  stagnation and blood stasis."
2295,CHAI HU,"Chinese Thorowax Equivalent plant: Bupleurum scorzonerifolium,  Bupleurum smithii  var parvifolium ,  Bupleurum aureum, Bupleurum longiradiatum, Bupleurum marginatum , Bupleurum marginatum var stenophyllum, Bupleurum angustissimum,  Bupleurum chaishoui, Bupleurum wenchuanense ,  Bupleurum sibiricum,  Bupleurum yinchowense",Bupleurum chinense,"Minor cold,Pungent,Bitter","Liver,Gallbladder",root,"To harmonize exterior and interior, soothe liver and upbear  yang.","Common cold, influenza, malaria, acute pancreatitis, pleuritis, neuritis, gastritis, acute cholecystitis, hepatitis, fever due to external contraction, keratitis, cold-heat in turn, liver depression and rib-side pain, mammary distention, dizziness and headache, menstrual disorder, prolapse of rectum due to  qi  vacuity fall, prolapse of uterus, gastroptosis."
2313,SHANG LU,Indian Pokeweed Equivalent plant:  Phytolacca americana,Phytolacca esculenta [Syn.  Phytolacca acinosa],"Cold,Bitter","Large Intestine,Kidney",root,"To expel water and disperse swelling, disinhibit urine and free stool, resolve toxin and dissipate binds.","Edema distention fullness, urinary and fecal stoppage, swelling toxin of welling abscess and sore."
2347,PEI LAN,Fortune Eupatorium Equivalent plant:  Eupatorium formosanum,Eupatorium fortunei,"Cold,Mild","Lung,Spleen,Stomach",aerial parts,"To resolve summerheat and transform damp, repel foulness and harmonize center.","Nausea and vomiting, bad breath, drooling, distended head and oppression in chest, sweet-greasy in mouth, summerheat-damp exterior syndrome."
2353,BAI BU,"Tuber Stemona Equivalent plant:  Stemona japonica,  Stemona sessilifolia",Stemona tuberosa,"Minor Warm,Sweet,Bitter",Lung,root,"To moisten lung, relieve cough and kill worms.","Wind-cold cough, pertussis, tuberculosis, senile cough and asthma, ascariasis, oxyuria disease, scab and lichen, eczema, cootie."
2406,JIE GENG,Balloonflower,Platycodon grandiflorum,"Mild,Pungent,Bitter",Lung,root,"To diffuse lung, dispel phlegm, disinhibit throat, expel pus.","Cough with profuse phlegm, swelling pain in throat, pulmonary welling abscess with hacking of pus and blood, fullness in chest and rib-side pain, dysentery, dribbling urinary block."
2418,HAI TONG PI,Oriental Variegated Coralbean Bark,Erythrina variegata  var. orientalis,"Mild,Pungent,Bitter",Liver,bark,"To dispel wind-damp, move qi ,   disinhibit urine and disperse edema.","Wind-damp impediment, pain in lumbus and knees, scab sore, lichen, eczema."
2447,XIANG JIA PI,Chinese Silkvine Root-bark,Periploca sepium,"Minor Warm,Pungent,Bitter","Liver,Heart,Kidney",root cortex,"To dispel wind-damp, strengthen sinews and bones.","Wind-damp impediment pain, limp aching lumbus and knees, palpitation and shortness of breath, edema in lower limb."
2510,QING MU XIANG,Slender Dutchmanspipe Root Equivalent plant: Aristolochia contorta,Aristolochia debilis  [Syn.  Aristolochia longa ],"Cold,Pungent,Bitter","Stomach,Liver",root,"To lower blood pressure, calm liver and relieve pain, resolve toxin and disperse swelling.","Hypertension, gastrospasm, stomachache, infections, chronic bone marrow infection, chronic bronchitis, infection of skin, dizziness and headache, distending pain in chest and abdomen, swollen welling abscess and clove sores, snake or insect bites."
2552,BIAN FU GE GEN,Asiatic Moonseed Root,Menispermum dauricum,"Cool,Pungent,Sweet","Spleen,Stomach",rhizome,"To clear heat and resolve toxin, disperse swelling and relieve pain, disinhibit damp.","Swelling pain in throat, lung heat cough, epidemic parotitis, diarrhea, jaundice, wind-damp impediment pain, swelling pain from hemorrhoids, snake or insect bites."
2572,NIU BANG ZI,Great Burdock Fruit,Arctium lappa,"Cold,Pungent,Bitter","Lung,Stomach",fruit,"To course wind and dissipate heat, diffuse lung and outthrust papules, resolve toxin and disinhibit throat.","Wind-heat common cold, cough with profuse phlegm, measles papules, wind papules, swelling pain in throat, epidemic parotitis, erysipelas, swollen welling abscess and sore toxin."
2575,HE HUAN PI,Silktree Albizia Bark,Albizzia julibrissin,"Mild,Sweet","Liver,Heart",bark,"To quiet spirit and resolve depression, quicken blood and disperse welling abscess.","Disquieted heart spirit, depression, insomnia, welling abscess and sores, knocks and falls."
2582,LU HUI,"Kulaso Aloe Dried Juice Equivalent plant:  Aloe ferox,  Aloe vera  var  chinensis",Aloe vera [Syn.  Aloe barbadensis],"Cold,Bitter","Large Intestine,Stomach,Liver",solid residue obtained by evaporating liquid which drains from leaves,To clear liver and relieve constipation.,"Constipation, child  gan  accumulation, ascariasis, fright wind, lichen."
2605,HU HUANG LIAN,Picrorhiza Equivalent plant: Picrorhiza scrophulariaeflora,Picrorhiza kurrooa,"Cold,Bitter","Large Intestine,Stomach,Liver,Heart",rhizome,"To lower vacuity heat, eliminate gan  fever, clear heat and dry damp, drain fire and resolve toxin.","Steaming bone tidal fever due to yin vacuity, night sweating, child  gan accumulation, indigestion, abdominal distention and emaciation, dysentery, fever, gastrointestinal damp-heat diarrhea, hemorrhoids."
2637,DA BO GU,Malabanut,Adhatoda vasica,"Warm,Pungent",Spleen,branchlet-leaf ,"To quicken blood and relieve pain, joint sinews and bones, stanch bleeding.","Sinew and bone wound, sprain, blood stasis swelling and pain, wind-damp impediment pain, lumbago, profuse menstruation, flooding and spotting."
2667,FU PING,Common Duckwood,Lemna minor,"Cold,Pungent","Lung,Bladder",whole herb,"To effuse sweat and resolve exterior, outthrust papules and relieve itch, disinhibit water and disperse edema, clear heat and resolve toxin.","Wind-heat exterior syndrome, non-eruption of measles, dormant papules with pruritus, edema, dribbling urinary block, sore and lichen, erysipelas, scalds."
2710,TIAN NAN XING,"Reddish Jackinthepulpit Equivalent plant:  Pinellia pedatisecta, Arisaema heterophyllum ,  Arisaema amurense",Arisaema consanguineum,"Warm,Pungent,Bitter","Lung,Spleen,Liver",tuber,"To dispel wind and check tetany, transform phlegm and dissipate binds.","Wind stroke with congesting phlegm, deviated eyes and mouth, hemiplegia, deadlimb, wind-phlegm dizziness, epilepsy, fright wind, tetanus, spasm, neuralgia, cough with profuse phlegm, swollen welling abscess, scrofula, poisonous snake bite, knocks and falls, carcinoma of uterine cervix."
2740,GUA DI,Muskmelon Fruit Pedicel,Cucumis melo,"Cold,Bitter",Stomach,fruit pedicel,"To promote vomiting, eliminate damp.","Wind stroke, epilepsy, throat impediment, indigestion of overnight food, distending pain in stomach duct, damp-heat jaundice, chronic hepatitis, cirrhosis."
2746,YU XING CAO,Heartleaf Houttuynia,Houttuynia cordata,"Minor cold,Pungent",Lung,aerial parts,"To clear heat and resolve toxin, expel pus and disinhibit urine.","Pulmonary welling abscess with hacking of pus and blood, lung heat phlegm cough, pneumonia, chronic bronchitis, urinary tract infection, odynuria, chronic uterine cervical infection, leptospirosis, otitis media, cystitis, dysentery, mastitis, heat toxin sores, heat strangury."
2760,REN SHEN,Ginseng,Panax ginseng  [Syn.  Panax schinseng],"Minor Warm,Sweet,Slightly Bitter","Lung,Spleen,Heart",root,"To supplement original  qi greatly, restore pulse and stem desertion, supplement spleen and boost lung, engender liquid, quiet spirit, lower blood sugar levels.","Qi  vacuity and verging on desertion, cold limbs and faint pulse, reduced food intake due to spleen vacuity, cough and asthma due to lung vacuity, fluid damage and thirst, diabetes mellitus due to internal heat, enduring illness  qi  vacuity, fright palpitation and insomnia, impotence, uterus cold, cardiac failure."
2785,LI LU,Black Falsehellebore Equivalent plant:  Veratrum grandiflorum,Veratrum nigrum,"Cold,Pungent,Bitter","Lung,Stomach,Liver",root and rhizome,"To promote vomiting, dispel wind and transform phlegm, lower blood pressure, kill worms.","Wind stroke with congesting phlegm, epilepsy, malaria, scab and lichen, malign sore."
2787,XIONG DAN,Bear Gall,"Selenarctos thibetanus,  Ursus arctos","Cold,Bitter","Liver,Heart,Gallbladder",gall bladder,"To clear heat and resolve toxin, calm liver and brighten eyes, stanch bleeding and kill worms.","Fright wind, epilepsy, convulsion due to liver heat and liver wind, swollen pain in red eyes due to liver heat, aversion to light, eye screen, swelling pain of welling abscess and sore, swelling pain from hemorrhoids."
2799,WU GONG,Centipede,Scolopendra subspinipes mutilans,"Warm,Pungent",Liver,dried body,"To calm, lower blood pressure, extinguish wind and check tetany, resolve toxin and dissipate binds, free network vessels and relieve pain.","Acute fright wind, chronic fright wind, tetanus, spasm, convulsion, toxin swelling of sores and open sores, scrofula with ulceration, intractable headache with pulling sensation, wind-damp impediment pain, hypertension."
2846,XI XIN,"Siebold Wildginger Equivalent plant: Asarum heterotropoides  var mandshuricum ,  Asarum sieboldii  var seoulensis",Asarum sieboldii,"Warm,Pungent","Lung,Kidney",whole herb,"To dispel wind and dissipate cold, free orifices and relieve pain, warm lung and transform rheum.","Wind-cold common cold, influenza, headache, toothache, local anesthesia, nasal congestion, deep-source nasal congestion, wind-damp impediment pain, phlegm-rheum cough asthma."
2868,ZI CAO,"Redroot Gromwell Equivalent plant: Arnebia guttata,  Arnebia euchroma",Lithospermum erythrorhizon,"Cold,Sweet","Liver,Heart",root,"To cool blood and quicken blood, resolve toxin and outthrust papules.","Macula, measles papules, blood ejection, spontaneous external bleeding, hematuria, purpura, jaundice, welling abscess and flat abscess, scalds."
2876,GUI ZHI,Cassiabarktree Twig,Cinnamomum cassia  [Syn.  Cinnamomum aromaticum ],"Warm,Pungent,Sweet","Lung,Bladder,Heart",twig,"To dissipate cold and resolve exterior, warm channels and free network vessels, promote  yang  and transform  qi.","Wind-cold exterior syndrome, cold-damp impediment pain, reversal cold of limbs, amenorrhea and dysmenorrhea, concretion and conglomeration, chest impediment, palpitation, phlegm-rheum, inhibited urination."
2892,YAN HU SUO,Yanhusuo,Corydalis yanhusuo  [Syn.  Corydalis turtschaninovii  f.  yanhusuo],"Warm,Pungent,Bitter","Spleen,Liver,Heart",rhizome,"To quicken blood, disinhibit  qi, relieve pain.","Chest and rib-side pain, pain in stomach duct and abdomen, neuralgia, gastrointestinal spasm, amenorrhea and dysmenorrhea, postpartum stasis stagnation abdominal pain, painful swelling from knocks and falls."
2896,BAI SHAO,Common Peony,Paeonia albiflora  [Syn.  Paeonia lactiflora],"Minor cold,Sour,Bitter","Spleen,Liver",root,"To calm liver and relieve pain, nourish blood and regulate menstruation, constrain yin and check sweating.","Headache and dizziness, pain in rib-side, abdominal pain, spasm in limbs, anemia with yellow complexion, menstrual disorder, profuse menstruation, spontaneous sweating, night sweating."
2920,LUO SHI TENG,Chinese Star Jasmine,Trachelospermum jasminoides,"Minor cold,Bitter","Liver,Heart",leafy stem,"To dispel wind and free network vessels, cool blood and disperse swelling.","Wind-damp impediment pain, hypertonicity of sinews and vessels, aching in lumbus and knees, throat impediment, swollen welling abscess, knocks and falls."
2962,LU RONG,Hairy Antler,"Cervus nippon ,  Cervus elaphus","Warm,Sweet,Salty","Liver,Kidney",non-ossifying young horn of male deer or stag,"To supplement kidney and invigorate  yang , boost essence and blood, strengthen sinews and bones, regulate thoroughfare and controlling vessels, draw sore toxin.","Impotence and emission, infertility due to uterus cold, marked emaciation, thrombocytopenia, septicemia, fatigued spirit, aversion of cold, dizziness, tinnitus and deafness, aching pain in lumbus and back, limp wilting sinew and bone, flooding and spotting with vaginal discharge, enduring  yin  flat abscess."
2982,HUA JIAO,Bunge Pricklyash Equivalent plant: Zanthoxylum schinifolium,Zanthoxylum bungeanum,"Warm,Pungent","Spleen,Stomach,Kidney",pericarp,"To warm center and relieve pain, dispel damp and kill worms.","Spleen-stomach vacuity cold, cold pain in stomach duct and abdomen, vomiting, diarrhea, abdominal pain and vomiting due to roundworm."
3011,LA JIAO,Bush Redpepper,Capsicum frutescens,"Hot,Pungent","Spleen,Stomach,Heart",fruit,See  Capsicum annuum .,See  Capsicum annuum.
3031,HU JI SHENG,Colored Mistletoe,Viscum coloratum,"Mild,Bitter","Liver,Kidney",stem and branch-leaf,"To dispel wind-damp, supplement liver and kidney, strengthen sinews and bones, quiet fetus.","Hypertension, cerebral and cardiovascular diseases, wind-damp impediment pain, limp aching lumbus and knees, stirring fetus in pregnancy."
3062,DENG XIN CAO,Common Rush,Juncus effusus,"Minor cold,Sweet,Neutral","Lung,Small Intestine,Heart",whole herb,"To disinhibit water and free strangury, clear heart and downbear fire.","Strangury, edema, inhibited urination, damp-heat jaundice, insomnia and vexation, infant night crying, throat impediment, mouth sore, wound."
3070,HE YE,Hindu Lotus Leaf,Nelumbo nucifera,"Mild,Bitter","Spleen,Stomach,Liver",leaf,"To clear heat and resolve summerheat, upbear yang ,  cool blood and stanch bleeding.","Summerheat-heat vexation and thirst, summerheat-damp diarrhea, spleen vacuity diarrhea, blood heat, blood ejection, spontaneous external bleeding, hematochezia, flooding and spotting."
3078,BA DOU,Pu rging Croton,Croton tiglium,"Hot,Pungent","Large Intestine,Stomach",dried seed,"To drain precipitation and cold accumulation, expel water and disperse swelling, dispel phlegm and disinhibit throat, Colombia  Croton*,    Almizclillo.  Isolated  compounds: 4892,  5 793, consume sore and kill worms.","Distention fullness and sudden pain in chest and a bdomen, fecal stoppage, diarrhea and dysentery, edema and enlarged abdomen, phlegm-rheum asthma fullness, throat wind, throat impediment, concretion and conglomeration, welling abscess and flat abscess, malign sore and scab lichen."
3091,GU SUI BU,Fortune’s Drynaria Rhizome Equivalent plant:  Pseudodrynaria coronans,Drynaria fortunei,"Warm,Bitter","Liver,Kidney",rhizome,"To supplement kidney and strengthen bones, soothe sinews and relieve pain.","Kidney vacuity lumbago, tinnitus and deafness, tooth mobilizing, wrenching and contusion from knocks and falls, sinew and bone wound, alopecia areata, white patch wind."
3099,HUANG YAO ZI,Airpotato Yam,Dioscorea bulbifera,"Cold,Bitter","Stomach,Liver",tuber,"To dissipate binds and disperse goiter, clear heat and resolve toxin, cool blood and stanch bleeding.","Goiter and tuberculosis, throat impediment, swelling toxin of welling abscess and sore, poisonous snake bite, carcinoma, blood ejection, spontaneous external bleeding, hemoptysis, pertussis, lung heat cough."
3120,TING LI ZI,"Pepperweed Seed Equivalent plant:  Descurainia sophia, Lepidium virginicum",Lepidium apetalum [Syn.  Lepidium micranthum ],"Extreme Cold,Pungent,Bitter","Lung,Bladder",seed,"To drain lung and calm asthma, move water and disperse swelling.","Phlegm-drool and congesting lung, cough and asthma with abundant phlegm, distention fullness in chest and rib-side, edema in chest and abdomen, inhibited urination."
3171,CE BAI YE,Chinese Arborvitae Leaf,Thuja orientalis,"Minor cold,Bitter,Punkery","Lung,Large Intestine,Liver",leaf,"To cool blood and stanch bleeding, relieve cough and dispel phlegm, dispel wind-damp, dissipate toxin swelling.","Hemoptysis, duodenal bleeding, chronic bronchitis, tuberculosis, blood ejection, spontaneous external bleeding, hematuria, hematochezia, blood dysentery, incessant flooding and spotting, cough with profuse phlegm, wind-damp impediment pain, erysipelas, epidemic parotitis, scalds, burns."
3205,HU ZHANG,Japanese Fleeceflower,Polygonum cuspidatum,"Cold,Bitter","Lung,Liver,Gallbladder",rhizome,"To lower cholesterol, quicken blood and dissipate stasis, dispel wind and free network vessels, clear heat and disinhibit damp, resolve toxin.","Hyperlipemia, impediment pain in joints, damp-heat jaundice, toxic jaundice, child jaundice, amenorrhea, hepatitis, appendicitis, candida vaginitis, concretion and conglomeration, cough with profuse phlegm, burns and scalds, knocks and falls, swelling toxin of welling abscess and sore."
3213,ZI TAN,Burmacoast Padauk,Pterocarpus indicus,"Warm,Pungent","Lung,Spleen,Stomach",wood,"To dispel stasis and harmonize construction, stanch bleeding and settle pain.","Headache, pain in heart and abdomen, persistent flow of lochia, dribbling pain of urination, wind toxin and swollen welling abscess, incised wound and bleeding."
3219,JU HE,Tangerine Seed,Citrus reticulata,"Minor Warm,Mild,Bitter","Liver,Kidney",seed,"To rectify  qi  and   relieve pain, resolve binds.","Mounting  qi,   painful swollen testes, mammary welling abscess, lumbago, bladder  qi  pain."
3267,YI PIN HONG,Common Poinsettia,Euphorbia pulcherrima,"Cold,Bitter,Punkery",Liver,whole herb,"To regulate menstruation and stanch bleeding, quicken blood and settle pain.","Profuse menstruation, painful swelling from knocks and falls, fracture, bleeding due to external injury."
3292,LEI GONG TENG,Common Threewingnut,Tripterygium wilfordii,"Cold,Bitter","Liver,Heart","root, leaf and flower","To dispel wind and eliminate damp, quicken blood and free network vessels, disperse swelling and relieve pain, resolve toxin and kill worms (high toxicity).","Rheumatoid arthritis, rheumatic arthritis, glomerulonephritis, nephropathy syndrome, erythematous lupus, dryness in eyes and mouth, Behcet’s syndrome, psoriasis, eczema, leprosy, scab sore, intractable lichen."
3312,YIN CHEN HAO,Capillary Wormwood Equivalent plant:  Artemisia scoparia,Artemisia capillaris,"Minor cold,Bitter","Spleen,Stomach,Liver,Gallbladder",aerial parts,"To clear heat and disinhibit damp, abate jaundice.","Hepatitis, jaundice, infective cholecystitis, hyperlipemia, inhibited urination, damp sore, itchy skin."
3327,SHE XIANG,Abelmusk,"Moschus moschiferus,  Moschus berezovskii,  Moschus sifanicus","Warm,Pungent","Spleen,Heart",dried secretion obtained from musk gland of musk deer,"To open orifices and arouse spirit, quicken blood and dissipate binds, disperse swelling and relieve pain.","Angina pectoris, cerebral thrombosis, vascular migraine, carcinoma, febrile diseases clouded spirit, wind stroke with phlegm reversal,  qi depression and fulminant reversal, malignity stroke stupor, amenorrhea due to blood stasis, concretion conglomeration accumulation and gathering, sudden pain in heart and abdomen, knocks and falls, wound, impediment pain numbness, malign sore with welling abscess and flat abscess, throat impediment, mouth sore,  gan  of teeth and gum, otitis media."
3348,DU HUO,Doubleteeth Pubescent Angelica Equivalent plant: Heracleum lanatum,Angelica pubescens f.  biserrata [Syn.  Angelica pubescens ],"Minor Warm,Pungent,Bitter","Bladder,Liver",root,"To dispel wind and eliminate damp, dissipate cold and relieve pain.","Wind-cold-damp impediment (especially in lower part of body), pain in lumbus and knees, headache, toothache."
3358,NIU HUANG,Cow-bezoar (Ox-gallstone),"Bos taurus domesticus,  Bubalus bubalis","Cool,Bitter","Liver,Heart",gallstone,"To clear heart and cool liver, clear heat and resolve toxin, lower blood pressure.","Ardent fever, coma, fright epilepsy, convulsion, febrile diseases clouded spirit, wind stroke with orifice block, acute infant fright wind, swelling pain in throat, mouth and tongue sores, welling abscess and flat abscess with clove sore."
3368,JIN FEI CAO,Japanese Inula Equivalent plant:  Inula britannica,Inula japonica,"Warm,Salty","Lung,Large Intestine,Liver",aerial parts,"To downbear  qi ,   disperse phlegm, move water.","Wind-cold cough, phlegm congestion and qi counterflow, glomus fullness in chest and diaphragm, cough and asthma with abundant phlegm, painful swelling from clove sore."
3371,QING YE DAN,Mileen Swertia,Swertia mileensis,"Cold,Sweet,Bitter","Bladder,Liver,Gallbladder",whole herb,"To clear heat and resolve toxin, disinhibit damp and abate jaundice.","Damp-heat jaundice, heat strangury with inhibited pain, damp-heat diarrhea dysentery, red and white vaginal discharge, influenza, malaria with fever, acute gastritis, acute pharyngolaryngitis, acute tonsillitis, acute conjunctivitis, allergic dermatitis."
3405,LI ZHI HE,Lychee Seed,Litchi chinensis,"Warm,Sweet,Punkery","Liver,Kidney",seed,"To rectify  qi,  dispel cold, relieve pain, resolve binds.","Mounting  qi  pain,   painful swollen testes, premenstrual abdominal pain, postpartum abdominal pain."
